狀態ID,狀態名稱,狀態圖標,狀態分類,狀態效果,效果鍵值,傷害屬性,傷害來源,狀態傷害,傷害上限參照,傷害上限倍率,效果數值,持續時間,作用間隔時間,疊加規則,最大疊層,說明
atkDown,攻擊,⚔️,debuff,stat,atkDown,,,0,,0,18,6,0,refresh,1,目標攻擊力下降。
defDown,防禦,🛡️,debuff,stat,defDown,,,0,,0,0,6,0,refresh,1,目標防禦力下降（舊存檔融合技快照相容保留，新設計改用穿透提升）。
enemyAspdDown,時間結界·攻速,⏳,debuff,stat,enemyAspdDown,,,0,,0,0,5,0,refresh,1,潛力【時間結界】：目標攻擊速度下降。
sgBleed,血刃流血,🩸,debuff,dot,,,skill,30,,0,0,5,1,strongest,1,新版技能【血刃斬】：每次作用造成技能傷害一定比例的傷害；每跳量與間隔由技能各階決定（引擎以 dps 覆寫）。
sgPoison,血刃劇毒,☠️,debuff,dot,,poison,skill,25,,0,0,4,0.5,strongest,1,新版技能【血毒刃】：毒屬性持續傷害；每跳量與間隔由技能各階決定（引擎以 dps 覆寫）。
sgIronBleed,鐵血裂傷,🗡️,debuff,dot,,,maxHp,3.5,,0,0,3,0.35,refresh,1,新版技能【鐵血之舞】：占最大生命比例的流血；自身流血直接扣生命、不吃護盾。
sgGale,狂風,💨,buff,stat,sgGale,,,0,,0,20,5,0,refresh,1,新版技能【狂風斬】：攻速額外提高（突破攻速上限、與自身攻速相乘）。
sgFrenzyCr,狂暴·爆擊率,🔥,buff,stat,sgCritUp,,,0,,0,50,6,0,refresh,1,新版技能【狂暴之舞】：爆擊率提高。
sgFrenzyCd,狂暴·爆擊傷害,💥,buff,stat,sgCritDmgUp,,,0,,0,200,6,0,refresh,1,新版技能【狂暴之舞】：爆擊傷害提高。
sgStorm,暴風化身,🌪️,buff,stat,sgStorm,,,0,,0,0,3,0,refresh,1,新版技能【暴風之舞】：化身暴風，期間自動施放雙刀亂舞、無法普攻。
sgBloodrage,嗜血狂怒,💢,buff,stat,sgBloodrage,,,0,,0,20,8,0,refresh,1,新版技能【嗜血狂怒】：攻速乘算提高（突破攻速上限）；期間各階狂怒效果生效。
sgArmorBrk,破甲,⚒️,debuff,stat,sgDefBrk,,,0,,0,25,4,0,stack,4,新版技能【破甲擊】：防禦降低（可疊層，疊層時重置時間；獨立鍵、與舊 defDown 減益加總計算）。
sgBurn,烈焰燃燒,🔥,debuff,dot,,fire,skill,20,,0,0,5,0.5,strongest,1,新版技能【火球術／火柱】：火屬性持續傷害；每跳量與間隔由技能各階決定（引擎以 dps 覆寫）。
sgFireAmp,火焰增幅,🔥,buff,stat,sgFireAmp,fire,,0,,0,0,4,0,refresh,1,新版技能【火焰增幅】：火屬性傷害提升（層數由引擎累加成單一數值，故用後蓋前並重置時間）。
sgFirehunt,火狩,☄️,buff,stat,sgFirehunt,fire,,0,,0,0,4,0,refresh,1,新版技能【火狩】：火狩環繞自身的剩餘時間；【再生】的擊殺延長會累加在這裡。
sgRockArmor,岩甲,🪨,buff,stat,sgRockArmor,earth,,0,,0,0,10,0,refresh,1,新版技能【岩甲術】：岩甲護盾的剩餘時間；第 3、5、6、7 階的效果只在此期間生效（護盾本身走「護盾」狀態）。
sgRockAmp,岩甲增幅,🪨,buff,stat,sgRockAmp,,,0,,0,0,3,0,refresh,1,新版技能【岩甲增幅】：損失護盾換得的傷害增幅（層數由引擎累加成單一數值，故用後蓋前並重置時間）。
sgMire,泥沼緩速,🟤,debuff,stat,sgMire,earth,,0,,0,50,1,0,refresh,1,新版技能【泥沼術】：攻速與移動速度下降（效果值＝攻速下降%）。同類型緩速依「取代」規則後蓋前並重新計時；為場域型持續重塗，不吃控場遞減與韌性。
sgMirePoison,泥沼劇毒,☠️,debuff,dot,,poison,skill,25,,0,0,1,0.5,refresh,1,新版技能【毒沼術】：毒性持續傷害；每跳量與間隔由技能各階決定（引擎以 dps 覆寫），站在沼澤中才會被重塗。
sgMireLava,熔岩灼燒,🌋,debuff,dot,,fire,skill,70,,0,0,1,0.4,refresh,1,新版技能【熔岩沼】：火焰持續傷害；每跳量與間隔由技能各階決定（引擎以 dps 覆寫），站在岩漿中才會被重塗。
sgThunderOrb,環體電球,🔵,buff,stat,sgThunderOrb,lightning,,0,,0,0,6,0,refresh,1,新版技能【環體電球】：電球環繞自身的剩餘時間（與火狩各自一格，兩者互不覆蓋）。
sgFrost,寒霜,❄️,debuff,stat,sgFrost,ice,,0,,0,20,5,0,stack,5,新版技能【寒霜狀態】的層數與緩速：每疊 1 層使移動與攻擊速度各下降（效果值＝單層下降% × 層數），疊滿層數時凍結。比照泥沼緩速為場域型重塗，緩速本身不吃控場遞減與韌性。
sgFrostBite,寒霜凍傷,🧊,debuff,dot,,ice,skill,50,,0,0,5,0.5,strongest,1,新版技能【寒霜狀態】的寒冰持續傷害；每跳量占施放群組的本體技能傷害（引擎以 dps 覆寫）。依使用者決策，傷害不隨寒霜層數提高。
sgFrozen,凍結,🥶,debuff,stat,sgFrozen,ice,,0,,0,0,3,0,refresh,1,新版技能【寒霜狀態】疊滿層數的凍結標記。行動限制本身由「暈眩」承擔（因此完整沿用 BOSS 控場免疫、韌性折減與控場遞減），本狀態只標記「正在凍結中」，供【水龍捲】增傷與【寒冰爆裂箭】判定冰爆時機。
sgIceRevert,寒冰逆轉,💧,debuff,stat,sgIceRevert,ice,,0,,0,20,6,0,refresh,1,新版技能【寒冰逆轉】：敵人的屬性標籤強制改為寒冰，且受到的寒冰傷害提高（效果值＝提高%）。
sgFrostbody,寒冰體,❄️,buff,stat,sgFrostbody,ice,,0,,0,25,6,0,refresh,1,新版技能【冰霜新星】：施放後 6 秒內，攻擊你的敵人有 25% 機率被附加寒霜狀態。
sgWindCut,風切割裂,💨,debuff,dot,,wind,skill,50,,0,0,4,0.5,strongest,1,新版技能【風切狀態】的風系持續傷害；每跳量占施放群組的本體技能傷害並隨風切層數提高（引擎以 dps 覆寫）。
sgWindSlow,狂風緩速,🍃,debuff,stat,sgWindSlow,wind,,0,,0,60,3,0,refresh,1,新版技能【狂風碎裂】：被風刃命中的敵人移動速度下降（效果值＝下降%）。同類型緩速依「取代」規則後蓋前並重新計時。
sgStormBarrier,暴風屏障,🌪️,buff,stat,sgStormBarrier,wind,,0,,0,10,8,0,refresh,1,新版技能【暴風屏障】：屏障的剩餘時間與傷害減免（效果值＝減免%）；第 2～6 階的效果只在此期間生效（護盾由節拍逐次給予）。
sgVoidBlade,虛空斬,🌀,buff,stat,sgVoidBlade,wind,,0,,0,0,6,0,refresh,1,新版技能【虛空斬】：虛空斬擊還會在場上繞行多久（環繞場域的剩餘時間投影，比照火狩）。
sgStormGod,暴風神體,⛈️,buff,stat,sgStormGod,wind,,0,,0,99,2,0,refresh,1,新版技能【暴風神體】：風暴之神附體期間的傷害減免（效果值＝減免%），且風系傷害額外乘算提高。與暴風屏障是分開的兩個狀態。
