群組ID,群組名稱,階段名稱,群組圖標,階數,解鎖轉生/等級,超神ID,range,施放距離（米）,施放距離每級增加（米）,作用距離（米；用途見說明）,作用距離每級增加（米）,每段或每跳間隔（秒）,間隔每級增減（秒）,矩形長度（米）,矩形長度每級增加（米）,矩形寬度（米）,矩形寬度每級增加（米）,扇形角度（度）,角度每級增減（度）,傷害類型,傷害屬性,冷卻時間,施法消耗,施放特效,攻擊特效,飛行子彈,受擊特效,地板特效,持續場域特效,效果參數(JSON),升級金幣基數,升級金幣倍率,效果說明模板,作用方式與距離用途（唯讀說明）
cleave,,虛空碎裂斬,,8,,voidShatter,,,,,,,,,,,,,,,,,300,,,,,,,"{""times"":1,""timesPer"":0.2,""pct"":50,""pctPer"":5}",10000000,1.5,【迴身四方斬】的攻擊次數 +{times} 次，且物理傷害再額外 +{pct}%,【迴身四方斬】的攻擊次數 +{times} 次，且物理傷害再額外 +{pct}%
cleave,,逐風者,,9,,windChaser,,,,4,,0.4,,,,,,,,,,,300,,,,,ground-tornado-wind,,"{""hits"":4,""hitsPer"":0.4,""pct"":100,""pctPer"":10}",10000000,1.5,迴旋斬每命中 1 次，就在該敵人所在位置生成一道龍捲風：對半徑 {m} 米內的敵人造成 {hits} 段、每段 {pct}% 風系傷害,迴旋斬每命中 1 次，就在該敵人所在位置生成一道龍捲風：對半徑 {m} 米內的敵人造成 {hits} 段、每段 {pct}% 風系傷害
cleave,,天霸風神斬,,10,,stormGodSlash,,,,,,,,,,,,,,,,,300,,,,,,,"{""sec"":8,""secPer"":-0.5,""range"":30}",10000000,1.5,迴旋斬範圍擴大 {range}%，並改為被動技能：不再主動施放，改為每 {sec} 秒自動施放 1 次（每級施放間隔 -0.5 秒，仍需裝配在技能列才生效）,迴旋斬範圍擴大 {range}%，並改為被動技能：不再主動施放，改為每 {sec} 秒自動施放 1 次（每級施放間隔 -0.5 秒，仍需裝配在技能列才生效）
knife,飛刀,飛刀,🔪,1,0|50,,,,,,,,,,,,,60,,,,15,25,,,proj-knife,hit-phys,,,"{""pct"":150,""pctPer"":15,""count"":3}",100000,1.5,朝前方 {deg} 度扇形內丟出 {count} 把飛刀，每把造成 {pct}% 物理傷害,朝前方 {deg} 度扇形內丟出 {count} 把飛刀，每把造成 {pct}% 物理傷害
knife,飛刀,強化飛刀,🔪,2,0|100,,,,,,,,,,,,,,,,,15,40,,,,,,,"{""pct"":20,""pctPer"":10}",200000,1.5,飛刀傷害進一步提升，額外 +{pct}% 物理傷害,飛刀傷害進一步提升，額外 +{pct}% 物理傷害
knife,飛刀,彈射飛刀,🔪,3,0|150,,,,,20,,,,,,,,,,,,15,60,,,proj-knife,hit-phys,,,"{""pct"":30,""pctPer"":5,""count"":1}",400000,1.5,每把飛刀會在範圍20米內的 {count} 個敵人間彈跳，每次彈射造成 {pct}% 技能傷害,每把飛刀會在範圍20米內的 {count} 個敵人間彈跳，每次彈射造成 {pct}% 技能傷害
knife,飛刀,強化彈射,🔪,4,0|200,,,,,,,,,,,,,,,,,15,80,,,,,,,"{""add"":1,""addPer"":0.25}",800000,1.5,飛刀彈射的敵人數量額外 +{add}（不足 1 次的部分以機率觸發）,飛刀彈射的敵人數量額外 +{add}（不足 1 次的部分以機率觸發）
knife,飛刀,迴旋飛刀,🔪,5,0|250,,,,,,,,,,,,,,,,,15,100,,,,,,,"{""count"":4,""countPer"":0.2}",1500000,1.5,改為向周圍的 {count} 個敵人丟出飛刀（全圓形範圍鎖敵；不足 1 個的部分以機率觸發）,改為向周圍的 {count} 個敵人丟出飛刀（全圓形範圍鎖敵；不足 1 個的部分以機率觸發）
knife,飛刀,連鎖彈射,🔪,6,0|300,,,,,,,,,,,,,,,,,15,140,,,,,,,"{""chance"":20,""chancePer"":2,""max"":4}",3000000,1.5,飛刀彈射後有 {chance}% 機率再次彈射，最多連續 {max} 次,飛刀彈射後有 {chance}% 機率再次彈射，最多連續 {max} 次
knife,飛刀,神速飛刀,🔪,7,0|350,,,,,,,,,,,,,,,,,15,240,,,,,,,"{""sec"":0.05,""secPer"":0.01}",5000000,1.5,每把飛刀（含彈射）爆擊時，使飛刀技能冷卻時間 -{sec} 秒,每把飛刀（含彈射）爆擊時，使飛刀技能冷卻時間 -{sec} 秒
knife,,暴雨梨花,,8,,petalStorm,,,,,,,,,,,,,,,,,300,,,,,,,"{""pct"":20,""pctPer"":2}",10000000,1.5,每把飛刀（含彈射）都會對飛行路徑上的所有敵人造成 {pct}% 技能傷害,每把飛刀（含彈射）都會對飛行路徑上的所有敵人造成 {pct}% 技能傷害
knife,,死亡收割者,,9,,deathReaper,,,,,,,,,,,,,,,,,300,,,,,,,"{""pct"":25,""pctPer"":2.5,""maxStacks"":20,""dur"":8}",10000000,1.5,飛刀殺死敵人時堆疊【死亡收割】：每層使你造成的傷害提高 {pct}%，最多 {maxStacks} 層，持續 {dur} 秒,飛刀殺死敵人時堆疊【死亡收割】：每層使你造成的傷害提高 {pct}%，最多 {maxStacks} 層，持續 {dur} 秒
knife,,無限追魂刃,,10,,soulhunterBlade,,,,45,,,,,,,,,,,,,300,,,proj-knife-gold,hit-lightning,,,"{""pct"":50,""pctPer"":5}",10000000,1.5,每次施放飛刀時額外射出 1 支無限飛刀，追擊周圍 {m} 米內的任意敵人：傷害提高 {pct}%，彈射次數不受限制；只有一個目標時會貫穿後繞回再次攻擊，不會停留原地重複傷害,每次施放飛刀時額外射出 1 支無限飛刀，追擊周圍 {m} 米內的任意敵人：傷害提高 {pct}%，彈射次數不受限制；只有一個目標時會貫穿後繞回再次攻擊，不會停留原地重複傷害
gale,疾風斬,疾風斬,💨,1,0|100,,,5,,,,0.2,,,,,,,,,,15,25,,hit-gale-burst,,hit-phys,,,"{""pct"":250,""pctPer"":20,""hits"":3}",100000,1.5,對敵人造成連續 {hits} 次 {pct}% 物理傷害（同一目標）,對敵人造成連續 {hits} 次 {pct}% 物理傷害（同一目標）
gale,疾風斬,疾風連斬,💨,2,0|150,,,,,,,,,,,,,,,,,15,40,,,,,,,"{""add"":1,""addPer"":0.2}",200000,1.5,斬擊次數額外 +{add}（不足 1 次的部分以機率觸發）,斬擊次數額外 +{add}（不足 1 次的部分以機率觸發）
gale,疾風斬,強化斬擊,💨,3,0|200,,,,,,,,,,,,,,,,,15,60,,,,,,,"{""pct"":15,""pctPer"":4}",400000,1.5,進一步強化斬擊傷害，額外 +{pct}% 物理傷害,進一步強化斬擊傷害，額外 +{pct}% 物理傷害
gale,疾風斬,擴散,💨,4,0|250,,,,,10,,,,,,,,,,,,15,80,,,,,,,"{""pct"":50,""pctPer"":5}",800000,1.5,每次斬擊額外對 {m} 米內最近的 1 個敵人造成 {pct}% 技能傷害；附近沒有敵人時改對原目標造成,每次斬擊額外對 {m} 米內最近的 1 個敵人造成 {pct}% 技能傷害；附近沒有敵人時改對原目標造成
gale,疾風斬,狂風斬,💨,5,0|300,,,,,,,,,,,,,,,,,15,100,,,,,,,"{""pct"":20,""pctPer"":5,""sec"":5}",1500000,1.5,施放疾風斬使你的攻速額外提高 {pct}%，持續 {sec} 秒（突破攻速上限，與自身攻速相乘）,施放疾風斬使你的攻速額外提高 {pct}%，持續 {sec} 秒（突破攻速上限，與自身攻速相乘）
gale,疾風斬,極速斬,💨,6,0|350,,,,,,,,,,,,,,,,,15,140,,,,,,,"{""sec"":1,""secPer"":0.3}",3000000,1.5,疾風斬的冷卻時間 -{sec} 秒,疾風斬的冷卻時間 -{sec} 秒
gale,疾風斬,月牙斬,💨,7,0|400,,,10,,10,,,,,,,,,,,,15,240,,slash-gale-moon,,,,,"{""pct"":500,""pctPer"":50}",5000000,1.5,疾風斬的傷害由目標周圍 {m} 米內的所有敵人均分，且傷害額外 +{pct}%,疾風斬的傷害由目標周圍 {m} 米內的所有敵人均分，且傷害額外 +{pct}%
gale,,霹靂一閃,,8,,thunderFlash,,,,6,,,,,,,,,,,,,300,,,,hit-lightning,,,"{""mult"":5,""multPer"":0.5}",10000000,1.5,疾風斬的最後一斬會對你周圍 {m} 米內的敵人造成「單段傷害 × 連擊數 × {mult}」的傷害,疾風斬的最後一斬會對你周圍 {m} 米內的敵人造成「單段傷害 × 連擊數 × {mult}」的傷害
gale,,雷神斬,,9,,thunderGodSlash,,,,8,,,,,,,,,,,,,300,,bolt-sky-purple,,hit-thunder-purple,,,"{""pct"":200,""pctPer"":20}",10000000,1.5,疾風斬附加雷電：每次斬擊命中時降下 1 道落雷，對命中處周圍 {m} 米內的敵人造成 {pct}% 閃電傷害,疾風斬附加雷電：每次斬擊命中時降下 1 道落雷，對命中處周圍 {m} 米內的敵人造成 {pct}% 閃電傷害
gale,,千鳥,,10,,chidori,,,,,,,,,,,,,,,,,300,,,,,,,"{""pct"":50,""pctPer"":5}",10000000,1.5,【月牙斬】不再由範圍內的敵人均分傷害，改為每個敵人都受到完整傷害，且傷害再額外 +{pct}%,【月牙斬】不再由範圍內的敵人均分傷害，改為每個敵人都受到完整傷害，且傷害再額外 +{pct}%
bloodblade,血刃斬,血刃斬,🩸,1,0|200,,,,,,,,,,,,,,,,,15,25,,hit-bloodblade-burst,,hit-bleed,,,"{""pct"":200,""pctPer"":15,""dotPct"":30,""dotSec"":5,""dotGap"":1}",100000,1.5,對敵人造成 1 次 {pct}% 物理傷害，並附加流血：每 {dotGap} 秒造成技能傷害 {dotPct}% 的傷害，持續 {dotSec} 秒,對敵人造成 1 次 {pct}% 物理傷害，並附加流血：每 {dotGap} 秒造成技能傷害 {dotPct}% 的傷害，持續 {dotSec} 秒
bloodblade,血刃斬,強化流血,🩸,2,0|250,,,,,,,,,,,,,,,,,15,40,,curse-bleed,,hit-bleed,,,"{""sec"":0.5,""secPer"":0.1,""gapPct"":10,""gapPctPer"":1.5}",200000,1.5,流血持續時間 +{sec} 秒，且流血作用間隔縮短 {gapPct}%（跳得更快、總傷更高）,流血持續時間 +{sec} 秒，且流血作用間隔縮短 {gapPct}%（跳得更快、總傷更高）
bloodblade,血刃斬,虛弱,🩸,3,0|300,,,,,,,,,,,,,,,,,15,60,,,,,,,"{""pct"":10,""pctPer"":2}",400000,1.5,流血中的敵人受到的傷害提高 {pct}%,流血中的敵人受到的傷害提高 {pct}%
bloodblade,血刃斬,血毒刃,🩸,4,0|350,,,,,,,,,,,,,,,,,15,80,,curse-poison,,hit-poison,,,"{""dotPct"":25,""dotPctPer"":3,""dotSec"":6,""dotGap"":0.5}",800000,1.5,敵人流血的同時也會中毒：每 {dotGap} 秒造成技能傷害 {dotPct}% 的毒屬性傷害，持續 {dotSec} 秒,敵人流血的同時也會中毒：每 {dotGap} 秒造成技能傷害 {dotPct}% 的毒屬性傷害，持續 {dotSec} 秒
bloodblade,血刃斬,毒霧感染,🩸,5,0|400,,,,,,,,,,,,,,,,,15,100,,,proj-poison-drop,hit-poison,,,"{""chance"":30,""chancePer"":2,""count"":2}",1500000,1.5,血毒刃的毒在每次作用時，有 {chance}% 機率傳染給附近的 {count} 個敵人,血毒刃的毒在每次作用時，有 {chance}% 機率傳染給附近的 {count} 個敵人
bloodblade,血刃斬,死亡屍爆,🩸,6,0|450,,,,,,,,,,,,,,,,,15,140,,burst-blood,,hit-bleed,,,"{""pct"":50,""pctPer"":5,""count"":2}",3000000,1.5,流血或中毒狀態的敵人死亡時爆炸，對附近 {count} 個敵人造成 {pct}% 技能傷害並傳染中毒,流血或中毒狀態的敵人死亡時爆炸，對附近 {count} 個敵人造成 {pct}% 技能傷害並傳染中毒
bloodblade,血刃斬,零日感染,🩸,7,0|500,,,,,20,,,,,,,,,,,,15,240,,burst-zero-infection,,hit-poison,,,"{""chance"":20,""chancePer"":2,""pct"":40,""pctPer"":4,""count"":1}",5000000,1.5,流血或中毒狀態在每次作用時有 {chance}% 機率立即造成剩餘的持續傷害；作用結束後將流血及中毒傳染給 {m} 米內的隨機 {count} 個敵人，且流血與中毒傷害 +{pct}%,流血或中毒狀態在每次作用時有 {chance}% 機率立即造成剩餘的持續傷害；作用結束後將流血及中毒傳染給 {m} 米內的隨機 {count} 個敵人，且流血與中毒傷害 +{pct}%
bloodblade,,殺神領域,,8,,slayerDomain,,,,24,,,,,,,,,,,,,300,,,,,ground-mire,,"{""pct"":2,""pctPer"":0.2,""healPct"":2,""healPctPer"":0.2,""dur"":6,""maxStacks"":100}",10000000,1.5,永久展開 {m} 米的殺神領域：領域內的敵人死亡時堆疊【殺神】，每層使你造成的傷害 +{pct}%，同時回復 {healPct}% 最大生命；最多 {maxStacks} 層，持續 {dur} 秒,永久展開 {m} 米的殺神領域：領域內的敵人死亡時堆疊【殺神】，每層使你造成的傷害 +{pct}%，同時回復 {healPct}% 最大生命；最多 {maxStacks} 層，持續 {dur} 秒
bloodblade,,萬毒血霧,,9,,venomDomain,,,,24,,0.5,,,,,,,,,,,300,,curse-poison,,hit-poison,ground-mire-poison,,"{""pct"":100,""pctPer"":10,""dur"":6,""maxStacks"":10}",10000000,1.5,永久展開 {m} 米的萬毒領域：領域內的敵人每 {gap} 秒受到 {pct}% 中毒傷害，該中毒持續 {dur} 秒且可堆疊至 {maxStacks} 層,永久展開 {m} 米的萬毒領域：領域內的敵人每 {gap} 秒受到 {pct}% 中毒傷害，該中毒持續 {dur} 秒且可堆疊至 {maxStacks} 層
bloodblade,,崩解,,10,,disintegrate,,,,6,,,,,,,,,,,,,300,,burst-blood,,hit-bleed,,,"{""pct"":50,""pctPer"":5}",10000000,1.5,中毒與流血不再有持續時間，塗上的當下就結算完整傷害；結算後爆炸，對周圍 {m} 米內的敵人造成該效果 {pct}% 的傷害,中毒與流血不再有持續時間，塗上的當下就結算完整傷害；結算後爆炸，對周圍 {m} 米內的敵人造成該效果 {pct}% 的傷害
dualdance,雙刀亂舞,雙刀亂舞,⚔️,1,0|250,,,,,,,,,,,,,,,,,15,25,,slash-dual,,hit-phys,,,"{""pct"":300,""pctPer"":25,""count"":2}",100000,1.5,對附近 {count} 個敵人各造成 1 次 {pct}% 物理傷害（只有 1 個敵人時全部打向同一目標）,對附近 {count} 個敵人各造成 1 次 {pct}% 物理傷害（只有 1 個敵人時全部打向同一目標）
dualdance,雙刀亂舞,疾風亂舞,⚔️,2,0|300,,,,,,,,,,,,,,,,,15,40,,,,,,,"{""add"":1,""addPer"":0.2}",200000,1.5,額外攻擊附近 {add} 個敵人（不足 1 個的部分以機率觸發）,額外攻擊附近 {add} 個敵人（不足 1 個的部分以機率觸發）
dualdance,雙刀亂舞,強化雙刀,⚔️,3,0|350,,,,,,,,,,,,,,,,,15,60,,,,,,,"{""pct"":25,""pctPer"":5}",400000,1.5,進一步強化雙刀傷害，額外 +{pct}% 物理傷害,進一步強化雙刀傷害，額外 +{pct}% 物理傷害
dualdance,雙刀亂舞,狂暴之舞,⚔️,4,0|400,,,,,,,,,,,,,,,,,15,80,,,,,,,"{""cr"":100,""crPer"":10,""add"":1,""addPer"":0.1,""sec"":6}",800000,1.5,讓你的暴擊率 +{cr}%、連擊數 +{add}，持續 {sec} 秒,讓你的暴擊率 +{cr}%、連擊數 +{add}，持續 {sec} 秒
dualdance,雙刀亂舞,鐵血之舞,⚔️,5,0|450,,,,,5,,0.35,,,,,,,,,,15,100,,,,,,,"{""pct"":3.5,""pctPer"":0.35,""sec"":3}",1500000,1.5,施放雙刀亂舞時使你以及附近 {m} 米內的所有敵人流血：每 {gap} 秒造成最大生命值 {pct}% 傷害，持續 {sec} 秒,施放雙刀亂舞時使你以及附近 {m} 米內的所有敵人流血：每 {gap} 秒造成最大生命值 {pct}% 傷害，持續 {sec} 秒
dualdance,雙刀亂舞,嗜血狂化,⚔️,6,0|500,,,,,,,,,,,,,,,,,15,140,,,,,,,"{""pct"":0.25,""pctPer"":0.025,""sec"":6}",3000000,1.5,施放雙刀亂舞後 {sec} 秒內，生命值或護盾每減少 1%，獲得 {pct}% 技能傷害提升,施放雙刀亂舞後 {sec} 秒內，生命值或護盾每減少 1%，獲得 {pct}% 技能傷害提升
dualdance,雙刀亂舞,暴風亂舞,⚔️,7,0|550,,,,,,,0.35,,,,,,,,,,15,240,,slash-dual,,hit-phys,ground-cyclone-avatar,,"{""sec"":3,""secPer"":0.3}",5000000,1.5,化身暴風在敵人間穿梭 {sec} 秒：每 {gap} 秒自動施放 1 次雙刀亂舞；期間無法普攻但可施放技能,化身暴風在敵人間穿梭 {sec} 秒：每 {gap} 秒自動施放 1 次雙刀亂舞；期間無法普攻但可施放技能
dualdance,,毀滅之舞,,8,,doomDance,,,,,,,,,,,,,,,,,300,,,,,,,"{""hpPct"":10,""hpPctPer"":-0.5,""pct"":200,""pctPer"":20}",10000000,1.5,每施放 1 次雙刀亂舞就失去當下 {hpPct}% 生命值（不會致死），但雙刀亂舞的傷害提高 {pct}%,每施放 1 次雙刀亂舞就失去當下 {hpPct}% 生命值（不會致死），但雙刀亂舞的傷害提高 {pct}%
dualdance,,火之神樂,,9,,flameKagura,,,,,,0.5,,,,,,,,,,,300,,,,,,,"{""pct"":10,""pctPer"":1,""dur"":6,""maxStacks"":20}",10000000,1.5,雙刀亂舞附加火焰：每次命中堆疊 1 層【神樂灼焰】，每層每 {gap} 秒造成 {pct}% 火屬性傷害，最多 {maxStacks} 層，持續 {dur} 秒,雙刀亂舞附加火焰：每次命中堆疊 1 層【神樂灼焰】，每層每 {gap} 秒造成 {pct}% 火屬性傷害，最多 {maxStacks} 層，持續 {dur} 秒
dualdance,,修羅亂舞,,10,,asuraDance,,,,,,,,,,,,,,,,,300,,,,,,,"{""pct"":20,""pctPer"":2}",10000000,1.5,讓你可以同時裝備兩把雙手武器（主手與副手各一把），且雙手武器的詞條效果提升 {pct}%,讓你可以同時裝備兩把雙手武器（主手與副手各一把），且雙手武器的詞條效果提升 {pct}%
counter,反擊,反擊,🛡️,1,0|300,,,,,,,,,,,,,,,,,0,5,,,proj-counter-ripple,hit-phys,,,"{""chance"":35,""pct"":50,""pctPer"":5}",100000,1.5,被動：受到傷害時有 {chance}% 機率對攻擊者反擊，造成 {pct}% 普攻傷害,被動：受到傷害時有 {chance}% 機率對攻擊者反擊，造成 {pct}% 普攻傷害
counter,反擊,招架,🛡️,2,0|350,,,,,,,,,,,,,,,,,0,10,,,,,,,"{""mult"":300,""multPer"":30}",200000,1.5,格擋時必定對敵人反擊，造成「格擋減傷值 × {mult}%」的普攻傷害,格擋時必定對敵人反擊，造成「格擋減傷值 × {mult}%」的普攻傷害
counter,反擊,強化反擊,🛡️,3,0|400,,,,,,,,,,,,,,,,,0,20,,,,,,,"{""pct"":30,""pctPer"":5}",400000,1.5,進一步提升反擊傷害，額外 +{pct}% 反擊普攻傷害,進一步提升反擊傷害，額外 +{pct}% 反擊普攻傷害
counter,反擊,反擊盾,🛡️,4,0|450,,,,,,,,,,,,,,,,,0,40,,,,,,,"{""pct"":1,""pctPer"":0.1}",800000,1.5,觸發反擊時，回復自身最大生命 {pct}% 的護盾,觸發反擊時，回復自身最大生命 {pct}% 的護盾
counter,反擊,破甲擊,🛡️,5,0|500,,,,,,,,,,,,,,,,,0,60,,,,hit-earth,,,"{""chance"":35,""def"":15,""sec"":4,""secPer"":0.4,""max"":4}",1500000,1.5,格擋時有 {chance}% 機率造成破甲：防禦 -{def}%，持續 {sec} 秒，最多疊 {max} 層（疊層時重置時間）,格擋時有 {chance}% 機率造成破甲：防禦 -{def}%，持續 {sec} 秒，最多疊 {max} 層（疊層時重置時間）
counter,反擊,二次反擊,🛡️,6,0|550,,,,,,,,,,,,,,,,,0,80,,,,,,,"{""chance"":50,""chancePer"":5,""count"":2}",3000000,1.5,反擊時有 {chance}% 機率再追加 {count} 次反擊（追加反擊不會再觸發反擊）,反擊時有 {chance}% 機率再追加 {count} 次反擊（追加反擊不會再觸發反擊）
counter,反擊,狂化反殺,🛡️,7,0|600,,,,,80,,,,,,,,,,,,0,100,,,,,,,"{""pct"":50,""pctPer"":5,""count"":2}",5000000,1.5,每次反擊時，額外對 {m} 米內隨機 {count} 個敵人反擊，造成 {pct}% 普攻傷害（不會再觸發反擊）,每次反擊時，額外對 {m} 米內隨機 {count} 個敵人反擊，造成 {pct}% 普攻傷害（不會再觸發反擊）
counter,,神聖之體,,8,,holyBody,,,,8,,,,,,,,,,,,,300,,burst-holy,,hit-light,,,"{""count"":10,""pct"":400,""pctPer"":40}",10000000,1.5,每 {count} 次反擊後朝目標射出一顆光彈，對其周圍 {m} 米內的敵人造成 {pct}% 神聖傷害,每 {count} 次反擊後朝目標射出一顆光彈，對其周圍 {m} 米內的敵人造成 {pct}% 神聖傷害
counter,,不屈鬥魂,,9,,indomitable,,,,30,,,,,,,,,,,,,300,,burst-earth,,hit-earth,aura-rock-armor,,"{""pct"":2000,""pctPer"":200,""sec"":5,""cd"":60}",10000000,1.5,死亡時對 {m} 米內的所有敵人造成 {pct}% 地系傷害，並在 {sec} 秒後原地復活繼續戰鬥（不算戰鬥失敗）；冷卻 {cd} 秒,死亡時對 {m} 米內的所有敵人造成 {pct}% 地系傷害，並在 {sec} 秒後原地復活繼續戰鬥（不算戰鬥失敗）；冷卻 {cd} 秒
